cpio;copy files to and from archives;-o, --create;Copy-out. Read a list of file names from the standard input and create on the standard output (unless overridden by the --file option) an archive containing these files.;NONE;4
cpio;copy files to and from archives;-i, --extract;Copy-in. Read the archive from standard input (or from the file supplied with the --file option) and extract files from it, or (if the -t option is given) list its contents to the standard output. If one or more patterns are supplied, read or list only files matching these patterns. The -t option alone implies -i.;NONE;3
cpio;copy files to and from archives;-i, --extract;Copy-in. Read the archive from standard input (or from the file supplied with the --file option) and extract files from it, or (if the -t option is given) list its contents to the standard output. If one or more patterns are supplied, read or list only files matching these patterns. The -t option alone implies -i.;NONE;4
cpio;copy files to and from archives;-p, --pass-through;Pass-through. Read a list of file names from the standard input and copy them to the specified directory.;NONE;3
cpio;copy files to and from archives;-?, --help;Give a short help summary and exit.;NONE;0
cpio;copy files to and from archives;--usage;Print a short usage message and exit.;NONE;0
cpio;copy files to and from archives;--version;Print program version and exit.;NONE;0
cpio;copy files to and from archives;--block-size=BLOCK-SIZE;Set the I/O block size to BLOCK-SIZE * 512 bytes.;NONE;0
cpio;copy files to and from archives;-B;Set the I/O block size to 5120 bytes.;NONE;0
cpio;copy files to and from archives;-c;Use the old portable (ASCII) archive format. This is the same as -H odc.;NONE;0
cpio;copy files to and from archives;-C, --io-size=NUMBER;Set the I/O block size to the given NUMBER of bytes.;NONE;0
cpio;copy files to and from archives;-D, --directory=DIR;Change to directory DIR.;NONE;0
cpio;copy files to and from archives;--force-local;Archive file is local, even if its name contains colons.;NONE;0
cpio;copy files to and from archives;-H, --format=FORMAT;Use given archive FORMAT. Valid formats are (the number in parentheses gives maximum size for individual archive member): bin The obsolete binary format. (2147483647 bytes) odc The old (POSIX.1) portable format. (8589934591 bytes) newc The new (SVR4) portable format, which supports file systems having more than 65536 i-nodes. (4294967295 bytes) crc The new (SVR4) portable format with a checksum added. tar The old tar format. (8589934591 bytes) ustar The POSIX.1 tar format. Also recognizes GNU tar archives, which are similar but not identical. (8589934591 bytes) hpbin The obsolete binary format used by HPUX's cpio (which stores device files differently). hpodc The portable format used by HPUX's cpio (which stores device files differently).;NONE;0
cpio;copy files to and from archives;-R, --owner=[USER][:.][GROUP];In copy-in and copy-pass mode, set the ownership of all files created to the specified USER and/or GROUP. In copy-out mode, store the supplied owner information in the archive. USER and GROUP are first looked up in the system user and group databases. If not found, cpio checks if they consist of decimal digits only and, if so, treats them as numeric UID and GID, correspondingly. To avoid the lookup and ensure that arguments are treated as numeric values, prefix them with a plus sign, e.g.: -R +0:+0.;NONE;9
cpio;copy files to and from archives;--quiet;Do not print the number of blocks copied at the end of the run.;NONE;0
cpio;copy files to and from archives;--rsh-command=COMMAND;Use remote COMMAND instead of rsh.;NONE;1
cpio;copy files to and from archives;-v, --verbose;Verbosely list the files processed.;NONE;0
cpio;copy files to and from archives;-V, --dot;Print a "." for each file processed.;NONE;0
cpio;copy files to and from archives;-W, --warning=FLAG;Controls warning display. The FLAG is one of none, to disable all warnings, all to enable them, truncate, to enable warnings about field truncation, and no-truncate, to disable them.;NONE;0
cpio;copy files to and from archives;-F, --file=[[USER@]HOST:]ARCHIVE-FILE;Use this ARCHIVE-FILE instead of standard input (in copy-in mode) or standard output (in copy-out mode). Optional USER and HOST specify the user and host names in case of a remote archive.;NONE;2
cpio;copy files to and from archives;-F, --file=[[USER@]HOST:]ARCHIVE-FILE;Use this ARCHIVE-FILE instead of standard input (in copy-in mode) or standard output (in copy-out mode). Optional USER and HOST specify the user and host names in case of a remote archive.;NONE;3
cpio;copy files to and from archives;-F, --file=[[USER@]HOST:]ARCHIVE-FILE;Use this ARCHIVE-FILE instead of standard input (in copy-in mode) or standard output (in copy-out mode). Optional USER and HOST specify the user and host names in case of a remote archive.;NONE;5
cpio;copy files to and from archives;-M, --message=STRING;Print STRING when the end of a volume of the backup media is reached.;NONE;4
cpio;copy files to and from archives;-b, --swap;Swap both halfwords of words and bytes of halfwords in the data. Equivalent to -sS.;NONE;0
cpio;copy files to and from archives;-f, --nonmatching;Only copy files that do not match any of the given patterns.;NONE;0
cpio;copy files to and from archives;-n, --numeric-uid-gid;In the verbose table of contents listing, show numeric UID and GID.;NONE;0
cpio;copy files to and from archives;-r, --rename;Interactively rename files.;NONE;3
cpio;copy files to and from archives;-s, --swap-bytes;Swap the bytes of each halfword in the files.;NONE;0
cpio;copy files to and from archives;-S, --swap-halfwords;Swap the halfwords of each word (4 bytes) in the files.;NONE;0
cpio;copy files to and from archives;--to-stdout;Extract files to standard output.;NONE;4
cpio;copy files to and from archives;-E, --pattern-file=FILE;Read additional patterns specifying filenames to extract or list from FILE.;NONE;2
cpio;copy files to and from archives;--only-verify-crc;When reading a CRC format archive, only verify the CRC's of each file in the archive, without actually extracting the files.;NONE;0
cpio;copy files to and from archives;-A, --append;Append to an existing archive.;NONE;3
cpio;copy files to and from archives;--device-independent, --reproducible;Create reproducible archives. This is equivalent to --ignore-devno --renumber-inodes.;NONE;0
